star_id,ra_new,dec_new,vmag_new
T001246,16.741058,70.429722,11.6300001144409
T001444,20.364994,70.943611,10.9399995803833
T001244,17.085303,69.518889,11.3800001144409
T001301,18.390836,71.581667,11.3400001525879
T001346,17.108178,68.843056,11.6899995803833
T001347,18.688444,70.29,11.1700000762939
T001386,22.300272,54.318889,10.6099996566772
T001438,18.728253,74.937778,10.960000038147
T001441,20.360861,58.140556,10.039999961853
235088,20.040906,53.376472,nan
T001443,19.826578,76.139167,10.6700000762939
T001446,20.133431,51.361667,11.5799999237061
154840,17.075917,56.8425,9.17000007629395
T001235,10.147883,69.276389,nan
102121,11.758706,65.540806,8.75
T001194,11.1881,69.964722,11.3000001907349
T001453,17.214883,57.197778,11.1099996566772
T002092,14.16983,45.56387,11.3000001907349
T002100,13.70623,76.64798,11.4300003051758
T001258,13.965622,79.583056,9.63000011444092
T001279,12.337525,56.201389,10.710000038147
T001288,20.877803,65.608611,10.4399995803833
T001136,12.812328,64.855,9.52999973297119
T001174,13.947811,68.618056,10.960000038147
T001184,18.146967,60.678611,10.9899997711182
WASP156,2.1854722,2.4180556,11.5869998931885
T001391,22.909003,54.161667,11.1400003433228
T001410,22.325522,42.560278,11.1099996566772
T001422,23.616056,39.639167,10.6199998855591
T001451,12.434953,61.258889,9.57999992370605
T001794,13.55983,49.06084,10.3199996948242
T001798,14.07293,46.51928,11.3599996566772
T001818,12.87541,34.90103,11.4200000762939
149026,16.508228,38.34731,8.14000034332275
155060,17.132206,32.105583,nan
T001264,19.149472,57.343889,11.4700002670288
T001432,21.96012,36.3214,10.0600004196167
K00244,19.109222,39.487888,10.7700004577637
K00246,19.402155,49.040272,10.0799999237061
T001248,17.268239,63.105556,11.8450002670288
T000561,9.8790111,6.2158333,10.25
T001269,16.646442,64.559167,11.6120004653931
T001272,13.279747,49.860833,11.8780002593994
HTR155-001,19.847261,48.080307,nan
T001280,19.431275,61.775833,nan
347039,20.623575,22.654167,9.35999965667725
1300,0.29056667,42.281944,9.27000045776367
6061,1.039875,37.185278,8.84000015258789
T001466,20.493103,61.550556,12.4429998397827
T001472,0.94095,48.6375,11.3000001907349
T001486,18.746525,62.685556,11.2030000686646
T001504,22.104661,52.701667,10.5799999237061
T002023,15.52422,33.90252,9.36999988555908
T001533,23.683114,57.485,10.9499998092651
T001537,23.238764,44.508611,10.9300003051758
T001538,23.799714,47.655556,10.3500003814697
T002110,18.81531,78.56895,10.210000038147
T001610,17.56956,61.12147,10.9899997711182
T001520,23.34885,62.161111,10.1499996185303
T001768,10.14019,55.53996,10.4200000762939
T001173,13.178872,70.767778,11.039999961853
T001249,13.370772,66.308333,11.0900001525879
T001435,13.569197,67.621111,10.6300001144409
HIP70705,14.461622,41.953667,9.97999954223633
HIP71409,14.602506,42.378167,8.86999988555908
T001436,14.373478,55.334167,12.0100002288818
T001772,10.45585,34.39095,9.96000003814697
T001775,10.00767,39.45775,11.6499996185303
T001803,11.86974,35.1718,11.8699998855591
T001824,13.18208,61.74485,9.72000026702881
T001839,13.12221,5.85205,10.8999996185303
25463,4.0498472,9.2088889,nan
T001853,14.09729,16.99237,12.1800003051758
T001890,18.64963,79.23835,12.3699998855591
T001757,17.026714,79.066944,12.3120002746582
T001765,15.61612,67.45258,12.418999671936
T002016,16.45315,42.68777,11.1599998474121
T001782,14.20525,74.41179,12.4090003967285
T002039,20.46818,61.87141,11.1000003814697
T001805,15.47603,55.18532,11.496000289917
T002097,19.82625,66.29396,12.4200000762939
T001609,19.245028,60.670833,10.7700004577637
GJ9522A,15.529736,47.055278,nan
T002123,16.26273,17.0239,10.2399997711182
T001812,16.18319,58.29455,12.4659996032715
12572,2.0602583,21.280611,nan
T001681,5.4447361,56.963611,10.9700002670288
T001686,4.1154083,66.119444,10.4099998474121
T001687,4.4556667,73.023611,10.5100002288818
T001694,6.5165806,66.360556,11.4499998092651
T001648,3.0267444,69.229722,10.4300003051758
T001655,4.07815,52.256944,11.1300001144409
332231,20.449408,33.744167,8.5600004196167
WASP-148,16.94203,44.30254,12.039999961853
T001708,7.7404861,43.008889,10.710000038147
T001710,6.2855889,76.210833,9.53999996185303
T001711,8.2964444,51.010278,10.6800003051758
T002101,17.74225,54.09097,11.210000038147
237566,7.0055556,56.824167,9.40999984741211
HIP34730,7.1911167,48.331778,12.210000038147
T001669,3.0637639,83.587222,10.2200002670288
T002102,16.89619,65.29396,12.2299995422363
T001722,7.6230139,61.153889,10.0299997329712
T001723,7.7864806,68.476667,9.65999984741211
T001727,6.2372361,53.135833,10.3100004196167
T001728,8.0407778,64.796944,12.3970003128052
T002134,18.12903,39.07293,nan
234571,18.15095,53.2175,9.52999973297119
238876,18.462525,55.755556,9.64999961853027
T001670,17.267817,72.161111,9.89000034332275
T001699,8.3459167,46.203333,11.3999996185303
146757,16.232589,63.533333,nan
156141,17.155258,71.876667,8.85999965667725
HIP97166,19.749611,74.062667,9.85000038146973
T001180,14.303719,82.193611,11.0200004577637
T001293,15.35401,63.56529,11.6499996185303
T001659,18.528347,82.305833,10.0799999237061
T001691,18.160275,86.860278,nan
T001706,19.013706,60.233611,11.0799999237061
T001734,16.966886,57.305,10.8999996185303
T001735,20.889278,64.228889,8.78999996185303
T001739,16.0115,83.258611,nan
T001741,16.469564,63.498889,nan
T001744,19.619406,60.881111,9.53999996185303
T001747,18.053736,60.675,11.5500001907349
T001753,16.831322,61.173333,11.8299999237061
T002076,14.4928,39.7904,9.14000034332275
T001758,23.649439,75.685,10.789999961853
T001759,21.790111,62.753611,nan
T001761,18.771842,75.303333,11.210000038147
T002141,17.25082,18.34034,9.46000003814697
KEPLER-63,19.28175,49.54828,12.0200004577637
77946,9.11851,46.67243,9.0
85426,9.87746,35.11101,nan
87620,10.12047,46.11488,9.3100004196167
T002144,23.35021,79.44178,10.5
95072,10.98515,40.98372,nan
93963,10.85178,25.64106,9.18000030517578
96735,11.14886,34.30301,8.97000026702881
HIP57099,11.70504,23.02703,11.4099998474121
HIP65469,13.41884,38.92237,9.97000026702881
T002075,14.00297,38.70564,12.5279998779297
T002133,17.41626,32.7984,12.1219997406006
110067,12.65595,20.02734,8.43000030517578
T002077,16.2918,68.89466,10.3400001525879
T002078,15.14533,82.44693,12.0299997329712
T002080,16.6922,80.04588,12.3500003814697
T002088,17.42499,75.88228,nan
TIC142381532,13.081314,63.753056,10.7299995422363
63433,7.8319616,27.363184,6.90999984741211
63935,7.8616778,9.3865,nan
T002026,0.36464,66.16812,11.3800001144409
T002041,1.28232,62.35169,11.1000003814697
134319,15.097196,64.04721,8.40999984741211
135694,15.191464,71.84075,nan
97658,11.242545,25.710385,7.71400022506714
158259,17.423349,52.790684,6.46999979019165
207897,21.679105,84.333485,nan
219134,23.221382,57.168355,5.57000017166138
HIP74981,15.322542,29.206238,nan
75732,8.8766142,28.330819,nan
191939,20.134869,66.850722,nan
192279,20.204864,44.495833,10.2799997329712
