,N_obs,Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,vmag_str,vmag,T_exp,T_max,counts,decker,N_acq,iodine,prio,prog_code,tel_code
0,4.0,12572,2,3,36.9,21,16,50.2,2000,vmag=,9.2,80,500,60,B5,1,in,p1,DG,U062
1,4.0,135694,15,11,29.3,71,50,26.7,2000,vmag=,9.08,71,500,60,B5,1,in,p1,DG,U062
2,4.0,146757,16,13,57.3,63,31,60.0,2000,vmag=,9.327,90,500,60,B5,1,in,p1,DG,U062
3,4.0,154840,17,4,33.3,56,50,33.0,2000,vmag=,9.17000007629395,78,500,60,B5,1,in,p1,DG,U062
4,4.0,156141,17,9,18.9,71,52,36.0,2000,vmag=,8.85999965667725,58,500,60,B5,1,in,p1,DG,U062
5,3.0,191939,20,8,5.5,66,51,2.6,2000,vmag=,8.97,65,500,60,B5,1,in,p1,DG,U062
6,4.0,207897,21,40,44.8,84,20,0.5,2000,vmag=,8.37,37,500,60,B5,1,in,p1,DG,U062
7,0.0,219134,23,13,17.0,57,10,6.1,2000,vmag=,5.57000017166138,3,500,60,B5,1,in,p1,DG,U062
8,4.0,237566,7,0,20.0,56,49,27.0,2000,vmag=,9.40999984741211,97,500,60,B5,1,in,p1,DG,U062
9,3.0,63935,7,51,42.0,9,23,11.4,2000,vmag=,8.58,45,500,60,B5,1,in,p1,DG,U062
10,0.0,75732,8,52,35.8,28,19,50.9,2000,vmag=,5.951,4,500,60,B5,1,in,p1,DG,U062
11,4.0,93963,10,51,6.4,25,38,27.8,2000,vmag=,9.18000030517578,78,500,60,B5,1,in,p1,DG,U062
12,4.0,GJ9522A,15,31,47.0,47,3,19.0,2000,vmag=,10.51,266,600,60,C2,1,in,p1,DG,U062
13,4.0,HIP97166,19,44,58.6,74,3,45.6,2000,vmag=,9.85000038146973,145,500,60,B5,1,in,p1,DG,U062
14,4.0,T001173,13,10,43.9,70,46,4.0,2000,vmag=,11.039999961853,434,900,60,C2,1,in,p1,DG,U062
15,4.0,T001174,13,56,52.1,68,37,5.0,2000,vmag=,10.960000038147,403,900,60,C2,1,in,p1,DG,U062
16,4.0,T001180,14,18,13.4,82,11,37.0,2000,vmag=,11.0200004577637,426,900,60,C2,1,in,p1,DG,U062
17,4.0,T001194,11,11,17.2,69,57,53.0,2000,vmag=,11.3000001907349,552,1200,60,C2,1,in,p1,DG,U062
18,4.0,T001244,17,5,7.1,69,31,8.0,2000,vmag=,11.3800001144409,594,1200,60,C2,1,in,p1,DG,U062
19,4.0,T001246,16,44,27.8,70,25,47.0,2000,vmag=,11.6300001144409,747,1500,60,C2,1,in,p1,DG,U062
20,4.0,T001248,17,16,5.7,63,6,20.0,2000,vmag=,11.8450002670288,911,2700,60,C2,1,in,p1,DG,U062
21,4.0,T001249,13,22,14.8,66,18,30.0,2000,vmag=,11.0900001525879,455,1200,60,C2,1,in,p1,DG,U062
22,4.0,T001269,16,38,47.2,64,33,33.0,2000,vmag=,11.6120004653931,735,1500,60,C2,1,in,p1,DG,U062
23,4.0,T001272,13,16,47.1,49,51,39.0,2000,vmag=,11.8780002593994,939,2700,60,C2,1,in,p1,DG,U062
24,4.0,T001279,12,20,15.1,56,12,5.0,2000,vmag=,10.710000038147,320,900,60,C2,1,in,p1,DG,U062
25,3.0,T001288,20,52,40.1,65,36,31.0,2000,vmag=,10.4399995803833,250,600,60,C2,1,in,p1,DG,U062
26,3.0,T001410,22,19,31.9,42,33,37.0,2000,vmag=,11.1099996566772,463,1200,60,C2,1,in,p1,DG,U062
27,3.0,T001422,23,36,57.8,39,38,21.0,2000,vmag=,10.6199998855591,295,600,60,C2,1,in,p1,DG,U062
28,4.0,T001438,18,43,41.7,74,56,16.0,2000,vmag=,10.960000038147,403,900,60,C2,1,in,p1,DG,U062
29,4.0,T001443,19,49,35.7,76,8,21.0,2000,vmag=,10.6700000762939,309,900,60,C2,1,in,p1,DG,U062
30,4.0,T001444,20,21,54.0,70,56,37.0,2000,vmag=,10.9399995803833,396,900,60,C2,1,in,p1,DG,U062
31,3.0,T001451,12,26,5.8,61,15,32.0,2000,vmag=,9.57999992370605,113,500,60,B5,1,in,p1,DG,U062
32,4.0,T001472,0,56,27.4,48,38,15.0,2000,vmag=,11.3000001907349,552,1200,60,C2,1,in,p1,DG,U062
33,4.0,T001669,3,3,49.6,83,35,14.0,2000,vmag=,10.2200002670288,204,500,60,C2,1,in,p1,DG,U062
34,4.0,T001691,18,9,37.0,86,51,37.0,2000,vmag=,10.134,188,500,60,C2,1,in,p1,DG,U062
35,4.0,T001694,6,30,59.7,66,21,38.0,2000,vmag=,11.4499998092651,633,1500,60,C2,1,in,p1,DG,U062
36,4.0,T001710,6,17,8.1,76,12,39.0,2000,vmag=,9.53999996185303,109,500,60,B5,1,in,p1,DG,U062
37,4.0,T001723,7,47,11.3,68,28,36.0,2000,vmag=,9.65999984741211,122,500,60,B5,1,in,p1,DG,U062
38,4.0,T001753,16,49,52.8,61,10,24.0,2000,vmag=,11.8299999237061,899,1800,60,C2,1,in,p1,DG,U062
39,4.0,T001758,23,38,58.0,75,41,6.0,2000,vmag=,10.789999961853,345,900,60,C2,1,in,p1,DG,U062
40,4.0,T001759,21,47,24.4,62,45,13.0,2000,vmag=,11.93,985,2700,60,C2,1,in,p1,DG,U062
41,4.0,T001775,10,0,27.6,39,27,27.9,2000,vmag=,11.6499996185303,761,1800,60,C2,1,in,p1,DG,U062
42,4.0,T001794,13,33,35.4,49,3,39.0,2000,vmag=,10.3199996948242,224,500,60,C2,1,in,p1,DG,U062
43,4.0,T001824,13,10,55.5,61,44,41.5,2000,vmag=,9.72000026702881,129,500,60,B5,1,in,p1,DG,U062
44,4.0,T002088,17,25,30.0,75,52,56.2,2000,vmag=,11.638,753,1800,60,C2,1,in,p1,DG,U062
45,4.0,TIC142381532,13,4,52.7,63,45,11.0,2000,vmag=,10.7299995422363,326,900,60,C2,1,in,p1,DG,U062
46,4.0,WASP156,2,11,7.7,2,25,5.0,2000,vmag=,11.5869998931885,718,1500,60,C2,1,in,p1,DG,U062
